X,Y,,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,OBJECTID
-76.152760140923704,43.002058699210799,9,178,SNOW&ICE,2018-01-0300:00:14.000,W,360SENECATNPKW&VALLEYDR,,-76.1527601409237,43.0020586992108,0
-76.152973240994598,43.002084899207297,16,178,SNOW&ICE,2018-01-0300:00:19.000,W,360SENECATNPKW&VALLEYDR,StopMoving,-76.1529732409946,43.0020848992073,1
-76.153131941081,43.002571599290697,19,178,SNOW&ICE,2018-01-0300:00:29.000,N,1524VALLEYDR,StartMoving,-76.153131941081,43.0025715992907,2
-76.156007242441007,43.008522400274202,70,178,SNOW&ICE,2018-01-0300:01:29.000,N,831VALLEYDR,,-76.156007242441,43.0085224002742,3
-76.159110743873597,43.014450901244601,113,178,SNOW&ICE,2018-01-0300:02:29.000,N,359-61VALLEYDR&MEDORAPL,,-76.1591107438736,43.0144509012446,4
-76.159954144262301,43.016054201506797,134,178,SNOW&ICE,2018-01-0300:02:49.000,N,736NEWELLSTW&VALLEYDR,StopMoving,-76.1599541442623,43.0160542015068,5
-76.160287244416196,43.0166916016112,142,178,SNOW&ICE,2018-01-0300:03:00.000,N,245-47VALLEYDR,StartMoving,-76.1602872444162,43.0166916016112,6
-76.159335644436496,43.021266402489303,182,178,SNOW&ICE,2018-01-0300:04:00.000,N,1616-18SOUTHAVE,,-76.1593356444365,43.0212664024893,7
-76.159241944528304,43.022965702805401,201,178,SNOW&ICE,2018-01-0300:04:21.000,N,1500SOUTHAVE&COLVINSTW,StopMoving,-76.1592419445283,43.0229657028054,8
-76.159262944583801,43.023643402929203,211,178,SNOW&ICE,2018-01-0300:04:32.000,N,1407-09SOUTHAVE,StartMoving,-76.1592629445838,43.0236434029292,9
-76.162002245650598,43.0261214032788,244,178,SNOW&ICE,2018-01-0300:05:20.000,N,709-11ONONDAGAAVE,StopMoving,-76.1620022456506,43.0261214032788,10
-76.1621447456872,43.025987903248698,291,178,SNOW&ICE,2018-01-0300:06:20.000,E,718ONONDAGAAVE&ELOISETER,,-76.1621447456872,43.0259879032487,11
-76.162012645650293,43.026069703268803,300,178,SNOW&ICE,2018-01-0300:06:32.000,N,718ONONDAGAAVE&ELOISETER,StartMoving,-76.1620126456503,43.0260697032688,12
-76.162348945796097,43.026580203349702,319,178,SNOW&ICE,2018-01-0300:06:49.000,NW,701ONONDAGAAVE&CENTENNIAL,StopMoving,-76.1623489457961,43.0265802033497,13
-76.162757645926703,43.026553603328999,366,178,SNOW&ICE,2018-01-0300:07:49.000,W,103PARKVIEWAVE&ONONDAGAA,,-76.1627576459267,43.026553603329,14
-76.162526645854996,43.026597903346101,408,178,SNOW&ICE,2018-01-0300:08:49.000,E,103PARKVIEWAVE&ONONDAGAA,,-76.162526645855,43.0265979033461,15
-76.162380745807098,43.0265899033502,416,178,SNOW&ICE,2018-01-0300:08:55.000,E,701ONONDAGAAVE&CENTENNIAL,StartMoving,-76.1623807458071,43.0265899033502,16
-76.162364645805795,43.026644703360901,418,178,SNOW&ICE,2018-01-0300:08:58.000,N,701ONONDAGAAVE&CENTENNIAL,,-76.1623646458058,43.0266447033609,17
-76.164031246537704,43.029303103785097,462,178,SNOW&ICE,2018-01-0300:09:50.000,NW,409ONONDAGAAVE,StopMoving,-76.1640312465377,43.0293031037851,18
-76.164332146678504,43.029903903883898,474,178,SNOW&ICE,2018-01-0300:10:02.000,N,323ONONDAGAAVE&CHENEYST,StartMoving,-76.1643321466785,43.0299039038839,19
-76.164758247045398,43.033082204451702,501,178,SNOW&ICE,2018-01-0300:10:43.000,N,201ONONDAGAAVE&BELLEVUEA,StopMoving,-76.1647582470454,43.0330822044517,20
-76.164962647122294,43.0332286044707,504,178,SNOW&ICE,2018-01-0300:10:49.000,W,120ONONDAGAAVE&BELLEVUEA,,-76.1649626471223,43.0332286044707,21
-76.165455947281899,43.033223404450602,508,178,SNOW&ICE,2018-01-0300:10:54.000,W,120ONONDAGAAVE&BELLEVUEA,StartMoving,-76.1654559472819,43.0332234044506,22
