block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID,FID
200,HUTCHINSON,AVE,,6,3,3,293,28,6/14,1991,O,Local,6,12571916,2001
200,HUTCHINSON,AVE,,6,3,3,293,28,6/14,1991,O,Local,6,13011464,2002
200,EAST,AVE,,5,2,2,664,27,5/14,,F,Local,6,12578747,2003
200,EDGEMONT,DR,,6,2,4,1101,25,5/14,,O,Local,3,12578678,2004
200,ISABELLA,ST,,7,3,4,405,36,4/14,2000,F,Local,6,12575170,2005
200,EDGEWOOD,AVE,,6,3,4,323,26,6/14,,O,Local,3,12571918,2006
200,JAMES,ST,,7,3,5,246,40,4/15,2000,F,PA,6,12577846,2007
200,JAMESVILLE,AVE,,8,5,4,1575,18,5/14,2007,F,Local,6,12577493,2008
200,EDISON,ST,,6,2,4,705,,4/14,,O,Local,3,12573565,2009
200,JANET,DR,,2,1,3,234,32,5/14,,O,Local,3,12578532,2010
200,EDWARDS,AVE,N,6,3,4,1027,29,5/15,1999,O,Local,3,12581112,2011
200,JASPER,ST,,5,2,3,1300,25,5/15,1998,F,Local,6,12580122,2012
200,EDWARDS,AVE,S,5,3,3,846,24,4/14,,O,Local,3,12580991,2013
200,JEROME,ST,,5,3,4,324,27,5/14,,O,Local,3,12578479,2014
200,ELDORADO,ST,,6,3,5,430,27,1211,,O,Local,3,12580436,2015
200,JOHN,ST,,6,3,3,477,34,4/15,2006,F,Local,6,12580066,2016
200,ELIZABETH,ST,,6,3,4,300,27,3/15,,F,Local,6,12577288,2017
200,KELLOGG,ST,,8,5,4,880,25,9/14,2012,F,Local,6,12573293,2018
200,ELK,ST,,5,3,3,660,27,3/15,,F,Local,6,12577275,2019
200,KENNEDY,ST,E,5,3,2,516,32,4/15,,F,Local,6,12577270,2020
200,ELK,ST,,5,3,3,660,27,3/15,,F,Local,6,12577281,2021
200,ELSNER,ST,,7,4,4,317,28,4/14,2001,O,Local,3,12580259,2022
200,KENNEDY,ST,E,5,3,2,516,32,4/15,,F,Local,6,12577269,2023
200,KENNEDY,ST,W,4,2,2,880,30,5/14,1996,F,Local,6,13028500,2024
200,ELSNER,ST,,5,3,4,291,28,4/14,2001,O,Local,3,12580259,2025
200,KENNEDY,ST,W,4,2,2,880,30,5/14,1996,F,Local,6,12577252,2026
200,EMERSON,AVE,,7,3,4,534,36,6/14,2005,O,Local,3,12573469,2027
200,KENNEDY,ST,W,4,2,2,880,30,5/14,1996,F,Local,6,13028498,2028
200,EMPIRE,AVE,,5,3,3,583,25,6/14,,O,Local,3,12571944,2029
200,KENNEDY,ST,W,4,2,2,880,30,5/14,1996,F,Local,6,13028501,2030
200,ENGLEWOOD,AVE,,6,3,3,340,27,6/14,1991,O,Local,3,12571772,2031
200,ERICKSON,ST,,6,3,4,686,26,4/15,2002,O,Local,3,12581168,2032
200,KENNEDY,ST,W,4,2,2,880,30,5/14,1996,F,Local,6,13028499,2033
200,KENSINGTON,PL,,5,3,2,890,28,5/14,,F,Local,3,12577545,2034
200,ERICKSON,ST,,6,3,4,686,26,4/15,2002,O,Local,3,12581140,2035
200,KENSINGTON,RD,,6,2,4,405,24,4/14,,F,Local,6,12577548,2036
200,ERIE,BLVD,E,5,3,4,345,56,4/15,,F,PA,6,12577835,2037
200,ERIE,BLVD,W,6,3,4,537,56,4/15,,F,PA,6,12573884,2038
